ART番号,クラスタ名,役割,メインKW(運用値=config/MMS),鮮度階層,最終更新日(参考),情報基準日(参考),状態
ART-001,不明,,防衛特別法人税,,,2026年度税制改正大綱に基づく,publish
ART-002,不明,,即時償却,,,令和8年度税制改正に基づく,publish
ART-003,不明,,法人節税 商品,,,2026年度税制改正に基づく,publish
ART-004,不明,,決算 節税 スケジュール,,2026-04-17,2026年4月時点の税法に基づく,publish
ART-005,不明,,即時償却 税理士 提案,,2026-04-18,2026年4月時点の税法に基づく,publish
ART-006,制度・法人節税 総合Pillar,Pillar,中小企業経営強化税制,,2026-06-09,2026年6月時点の税法に基づく,
ART-007,制度・法人節税 総合Pillar,Pillar,法人 節税,,2026-04-19,2026年4月時点の税法に基づく,publish
ART-008,制度・法人節税 総合Pillar,Pillar,決算対策,,2026-04-21,2026年4月時点の税法に基づく,publish
ART-009,P1 即時償却 Cluster,,即時償却 税額控除,,2026-04-19,2026年4月時点の税法に基づく,publish
ART-010,P1 即時償却 Cluster,,即時償却 対象設備,,2026-04-19,2026年4月時点の税法に基づく,publish
ART-011,P1 即時償却 Cluster,,即時償却 シミュレーション,,2026-04-19,2026年4月時点の税法に基づく,publish
ART-012,P1 即時償却 Cluster,,即時償却 確定申告,,2026-04-19,2026年4月時点の税法に基づく,publish
ART-013,P1 即時償却 Cluster,,経営強化税制 認定申請,,2026-04-19,2026年4月時点の税法に基づく,publish
ART-014,P1 即時償却 Cluster,,即時償却 デメリット,,2026-04-19,2026年4月時点の税法に基づく,publish
ART-015,P1 即時償却 Cluster,,即時償却 よくある質問,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-016,P1 即時償却 Cluster,,中小企業投資促進税制,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-017,P1 即時償却 Cluster,,製造業 節税,,,,(未公開/計画のみ)
ART-018,P1 即時償却 Cluster,,飲食業 節税,,,,(未公開/計画のみ)
ART-019,P1 即時償却 Cluster,,医療法人 節税,,2026-05-02,2026年4月時点の税法に基づく,publish
ART-020,P1 即時償却 Cluster,,IT企業 節税,,2026-05-02,2026年4月時点の税法に基づく,publish
